Eb/N0 (dB),16QAM Theory,16QAM Sim,QPSK Theory,QPSK Sim
0,0.1391600135710116,0.14132,0.07864960352514258,0.078661
1,0.11834583884997399,0.119176,0.05628195197654147,0.056245
2,0.09755935237670886,0.097983,0.03750612835892598,0.03746
3,0.07741543426555975,0.077604,0.02287840756108532,0.022802
4,0.05861845741925091,0.058511,0.01250081804073755,0.012495
5,0.04189230318126343,0.041881,0.005953867147778662,0.005938
6,0.027871306319660706,0.027908,0.002388290780932807,0.002391
7,0.016966733896638594,0.017055,0.0007726748153784446,0.000788
8,0.009247213737517428,0.009256,0.00019090777407599314,0.000174
9,0.004390336087342222,0.004323,3.3627228419617505e-05,2.7e-05
10,0.0017541506178927247,0.001783,3.872108215522035e-06,3e-06
11,0.0005647061064817435,0.000569,2.613067953575199e-07,0.0
12,0.00013865868881261898,0.00011,9.006010350628754e-09,0.0
13,2.4233785466315877e-05,2.6e-05,1.3329310175300506e-10,0.0
14,2.763208001687779e-06,5e-06,6.810189128780772e-13,0.0
15,1.8418555110944843e-07,0.0,9.123957362628105e-16,0.0
